symbol,price,change,low,high,ema20,ema50,ema100,ema200,score
BELRISE,209.98,0.34,205.05,212.0,211.4,204.05,191.91,172.55,0.0
OLAELEC,36.96,1.04,36.02,37.85,35.67,33.89,34.4,37.88,0.0
COLPAL,2185.4,-0.13,2163.1,2192.5,2134.46,2095.28,2106.5,2179.01,0.0
WELSPUNLIV,141.65,0.9,139.0,142.0,133.97,129.53,128.45,129.52,0.0
PTCIL,15796.0,-2.62,15745.0,16122.0,16423.29,16563.51,16767.56,16528.61,0.0
BPCL,293.75,2.55,280.05,294.75,296.67,308.32,322.53,330.03,0.0
HYUNDAI,1787.4,0.4,1760.0,1805.1,1829.52,1891.53,2000.05,2080.58,0.0
BLUEDART,4839.5,-1.46,4830.0,4889.5,5201.55,5280.87,5393.68,5641.4,0.0
LINDEINDIA,7256.5,-1.64,7220.0,7399.0,7376.56,7180.35,6899.16,6716.0,0.0
ESCORTS,2895.6,0.17,2864.0,2914.0,3077.02,3172.53,3293.58,3399.11,0.0
UPL,634.35,0.17,624.25,637.5,639.86,647.52,666.42,677.61,0.0
SRF,2613.3,-0.91,2590.5,2622.1,2631.96,2612.5,2677.02,2775.66,0.0
ABREL,1279.0,0.61,1245.8,1285.2,1361.78,1358.86,1411.49,1561.89,0.0
BANKBARODA,263.55,1.13,256.65,264.3,266.0,272.85,277.3,273.31,0.0
JPPOWER,18.31,-2.81,18.2,19.1,18.61,17.74,17.24,17.11,0.0
WAAREEENER,3005.2,0.21,2998.7,3047.9,3139.95,3128.0,3086.37,3068.19,0.0
AADHARHFC,479.7,1.48,465.8,486.35,483.22,480.51,479.91,478.72,0.0
TATACHEM,729.95,-0.85,726.0,734.45,750.89,730.79,738.78,776.43,0.0
JINDALSAW,219.54,-1.85,216.32,224.99,228.12,216.38,204.35,199.76,0.0
MAPMYINDIA,911.95,-5.65,905.0,1014.95,964.23,997.54,1135.55,1352.4,0.0
BALRAMCHIN,530.75,-3.58,528.6,561.05,527.93,507.83,492.5,494.61,0.0
LALPATHLAB,1668.6,-2.06,1647.1,1707.0,1561.08,1483.12,1461.0,1464.07,0.0
VBL,514.0,-0.16,506.95,516.7,498.16,476.59,468.15,468.15,0.0
RELIANCE,1359.7,2.8,1312.6,1362.9,1374.51,1385.59,1405.46,1422.24,0.0
BANKINDIA,139.17,0.38,136.5,139.89,141.98,146.0,147.01,141.92,0.0
360ONE,1107.4,0.82,1076.0,1111.0,1081.35,1069.64,1078.4,1081.53,0.0
PREMIERENE,992.4,0.95,976.8,995.5,991.03,948.63,918.64,932.79,0.0
FLUOROCHEM,3750.8,0.07,3692.0,3780.0,3629.68,3492.59,3452.39,3501.83,0.0
INDUSTOWER,427.85,-0.66,424.25,431.0,417.67,421.46,421.15,412.06,0.0
TRIDENT,24.27,-0.7,23.75,24.43,25.28,25.35,25.78,26.73,0.0
ASHOKLEY,153.61,1.47,148.8,154.5,160.26,168.09,170.28,162.38,0.0
ITCHOTELS,153.52,-1.49,153.01,154.7,157.73,161.15,171.12,185.02,0.0
CCL,1096.0,0.61,1078.6,1108.7,1113.82,1091.07,1050.54,995.26,0.0
BLS,268.4,2.44,266.55,286.95,272.0,274.58,283.55,305.59,0.0
TATATECH,674.45,0.88,659.25,679.8,617.63,599.03,608.48,637.32,0.0
AEGISVOPAK,199.65,0.28,195.1,201.51,198.62,198.97,208.8,222.77,0.0
PFC,429.35,-0.52,422.35,432.45,445.31,435.56,420.12,409.12,0.0
ABLBL,101.46,-1.72,100.1,103.99,104.35,104.49,109.26,119.87,0.0
TRITURBINE,656.55,2.9,617.1,664.0,580.27,542.12,526.6,530.97,0.0
KAJARIACER,1053.7,-0.07,1045.3,1059.0,1091.51,1071.1,1054.51,1056.15,0.0
JUBLFOOD,472.55,-0.1,465.25,476.95,466.17,473.77,497.89,540.78,0.0
KOTAKBANK,383.2,0.33,376.3,384.05,380.53,383.47,393.12,403.02,0.0
CASTROLIND,182.32,-0.38,181.96,183.0,182.83,183.21,185.47,190.7,0.0
JWL,273.05,0.79,266.1,274.8,280.76,281.01,287.82,305.9,0.0
JSL,736.95,-0.3,725.25,745.0,752.44,756.77,759.95,750.23,0.0
INDIANB,810.2,-0.84,803.55,818.4,848.18,873.12,867.05,822.91,0.0
BAYERCROP,4315.5,-0.89,4300.0,4363.0,4516.73,4595.21,4642.73,4779.16,0.0
SBIN,950.9,0.22,935.0,955.0,1011.41,1045.06,1040.23,992.23,0.0
GLAXO,2346.8,-1.78,2340.1,2397.8,2406.85,2419.68,2462.19,2556.95,0.0
LLOYDSME,1654.9,-0.58,1636.1,1678.8,1689.57,1561.75,1450.86,1388.2,0.0
IDFCFIRSTB,68.21,0.59,66.72,68.4,68.3,69.01,71.41,72.71,0.0
SWIGGY,256.35,-1.67,254.5,260.5,266.9,280.84,305.01,329.69,0.0
DEEPAKNTR,1824.0,1.01,1780.8,1851.0,1760.13,1660.92,1637.03,1691.33,0.0
SUZLON,52.57,-0.64,52.0,52.7,52.93,50.41,49.93,52.02,0.0
SUPREMEIND,3467.7,0.62,3400.0,3480.0,3585.23,3664.86,3709.58,3776.13,0.0
JKTYRE,361.05,-2.05,357.7,369.05,390.76,415.37,433.16,427.72,0.0
CRISIL,4213.7,2.38,4078.2,4229.0,4149.64,4190.52,4313.32,4526.72,0.0
OFSS,9703.5,0.6,9597.5,9915.0,9104.73,8406.22,8068.56,8076.93,0.0
OLECTRA,1220.8,0.1,1187.2,1262.0,1238.01,1180.26,1169.83,1208.04,0.0
TEJASNET,466.4,0.8,451.6,474.6,450.6,435.27,439.11,483.71,0.0
CYIENT,905.05,-0.09,895.0,914.4,890.8,906.89,962.42,1047.96,0.0
DATAPATTNS,3834.1,5.49,3600.1,3875.0,3901.25,3643.24,3349.95,3094.43,0.0
INDHOTEL,659.6,1.05,641.2,662.4,649.51,647.72,661.97,687.93,0.0
SUMICHEM,460.75,-1.74,458.65,469.6,453.0,436.63,438.4,460.93,0.0
AWL,196.73,-2.69,196.33,200.5,198.97,196.76,205.03,221.48,0.0
TIINDIA,2970.9,2.72,2863.9,2985.0,2899.92,2806.45,2753.83,2787.24,0.0
CAMS,780.4,0.13,762.4,784.95,773.68,744.07,735.11,743.64,0.0
RECLTD,333.0,-0.37,328.15,335.0,349.01,350.77,353.6,361.52,0.0
ICICIGI,1784.8,-2.08,1776.0,1811.9,1807.44,1816.25,1844.28,1872.94,0.0
UNITDSPR,1284.6,-1.56,1282.0,1305.5,1300.08,1313.36,1334.35,1367.5,0.0
IKS,1628.6,-1.03,1615.0,1645.0,1611.21,1553.66,1547.69,1558.7,0.0
CREDITACC,1293.9,-1.23,1281.0,1303.4,1333.67,1297.28,1286.24,1274.47,0.0
AXISBANK,1249.8,0.93,1226.6,1254.1,1270.86,1283.83,1279.53,1256.0,0.0
PVRINOX,996.1,-1.75,993.0,1005.0,1018.27,1009.46,1016.03,1023.92,0.0
JSWENERGY,537.1,0.74,526.8,538.5,537.65,526.11,514.63,509.72,0.0
PAGEIND,38285.0,-1.07,38020.0,38700.0,36881.35,35823.05,35902.02,37918.71,0.0
UNIONBANK,159.0,0.03,156.21,159.69,166.48,172.14,170.87,163.49,0.0
CHALET,800.1,-0.11,789.0,805.0,777.16,780.49,806.04,842.54,0.0
SHRIRAMFIN,923.45,-0.42,913.0,925.45,957.37,972.48,953.93,887.3,0.0
CARBORUNIV,1059.15,-1.58,1055.0,1087.95,1009.26,936.69,899.12,899.52,0.0
ZENTEC,1604.2,2.54,1552.5,1614.0,1586.6,1534.62,1487.72,1511.91,0.0
SAREGAMA,406.5,3.09,387.0,423.0,365.6,352.53,358.6,390.49,0.0
WHIRLPOOL,856.0,0.72,832.8,861.9,895.78,895.13,923.79,1011.48,0.0
RKFORGE,557.9,-1.86,555.0,563.65,577.89,562.29,552.86,557.67,0.0
RAILTEL,320.3,0.93,313.0,322.0,323.13,316.7,321.55,336.53,0.0
CUB,250.05,-0.42,247.5,251.5,256.39,259.57,260.14,250.67,0.0
ZEEL,82.95,-5.39,81.82,85.28,87.77,86.24,88.34,95.83,0.0
HEXT,512.2,0.32,503.25,520.5,481.33,490.14,540.84,614.81,0.0
ENDURANCE,2552.3,0.28,2521.3,2560.0,2482.75,2444.77,2475.76,2507.78,0.0
SBICARD,624.35,0.09,614.6,626.0,642.18,673.37,720.49,776.68,0.0
MFSL,1625.4,0.46,1603.6,1637.0,1627.95,1638.91,1647.17,1622.63,0.0
FEDERALBNK,289.9,1.15,283.1,290.55,287.08,284.04,275.49,257.87,0.0
ACE,896.85,1.69,868.05,903.85,892.13,885.39,901.94,961.74,0.0
POONAWALLA,400.1,-1.09,394.3,402.3,420.87,422.69,430.85,436.08,0.0
SOBHA,1371.6,-1.17,1357.5,1383.7,1393.63,1381.08,1401.65,1427.95,0.0
FIRSTCRY,220.89,-0.23,216.12,222.33,232.08,237.3,252.74,281.11,0.0
NUVAMA,1476.2,0.61,1437.0,1483.0,1436.89,1369.99,1354.6,1363.39,0.0
SUNDARMFIN,4480.6,-1.71,4431.0,4536.0,4652.05,4788.22,4877.18,4911.31,0.0
PERSISTENT,5084.1,0.35,4986.3,5149.0,4952.91,5065.94,5272.61,5456.81,0.0
UBL,1348.8,0.04,1332.1,1351.7,1415.31,1476.32,1540.71,1643.63,0.0
PNBHOUSING,1060.8,-0.35,1054.2,1070.0,1033.06,963.25,926.06,923.7,0.0
LATENTVIEW,317.95,-2.24,316.2,330.85,303.92,311.83,340.97,373.01,0.0
AEGISLOG,709.95,1.35,686.0,721.0,688.82,679.94,689.88,723.99,0.0
UNOMINDA,1056.4,0.43,1022.3,1064.9,1107.62,1116.19,1140.31,1148.7,0.0
AIIL,507.85,2.24,486.0,511.65,486.68,483.29,499.05,513.22,0.0
3MINDIA,31140.0,-2.11,31000.0,31700.0,31837.16,32383.23,32847.55,32547.67,0.0
BBTC,1518.2,-0.71,1500.0,1528.3,1515.03,1541.38,1618.31,1720.95,0.0
HDBFS,673.4,-0.28,668.5,677.5,671.79,668.85,685.61,718.58,0.0
COALINDIA,458.7,0.38,452.7,460.05,460.65,453.22,439.99,424.55,0.0
IRB,21.13,4.55,19.95,21.59,21.04,21.15,21.21,21.68,0.0
AMBUJACEM,430.25,-0.34,425.15,431.6,439.59,451.68,476.35,506.91,0.0
